Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (12001268),James Harden,12001268,PG/SG/G/UTIL,13800,TOR@HOU 01/25/2019 08:00PM ET,HOU,63.15
SF/PF,Giannis Antetokounmpo (12001272),Giannis Antetokounmpo,12001272,SF/PF/F/UTIL,10700,CHA@MIL 01/25/2019 08:30PM ET,MIL,56.23
C,Nikola Jokic (12001276),Nikola Jokic,12001276,C/UTIL,10600,PHO@DEN 01/25/2019 09:00PM ET,DEN,48.67
C,Karl-Anthony Towns (12001278),Karl-Anthony Towns,12001278,C/UTIL,10000,MIN@UTA 01/25/2019 09:00PM ET,MIN,48.62
PF/C,Blake Griffin (12001280),Blake Griffin,12001280,PF/C/F/UTIL,9900,DET@DAL 01/25/2019 08:30PM ET,DET,46.87
C,Nikola Vucevic (12001284),Nikola Vucevic,12001284,C/UTIL,9700,WAS@ORL 01/25/2019 07:00PM ET,ORL,46.14
SF/PF,Kawhi Leonard (12001286),Kawhi Leonard,12001286,SF/PF/F/UTIL,9500,TOR@HOU 01/25/2019 08:00PM ET,TOR,47.52
SG,Bradley Beal (12001290),Bradley Beal,12001290,SG/G/UTIL,8900,WAS@ORL 01/25/2019 07:00PM ET,WAS,42.95
C,Andre Drummond (12001293),Andre Drummond,12001293,C/UTIL,8800,DET@DAL 01/25/2019 08:30PM ET,DET,43.15
PG/SG,Donovan Mitchell (12001295),Donovan Mitchell,12001295,PG/SG/G/UTIL,8700,MIN@UTA 01/25/2019 09:00PM ET,UTA,36.39
PG/SG,D'Angelo Russell (12001299),D'Angelo Russell,12001299,PG/SG/G/UTIL,8600,NY@BKN 01/25/2019 07:30PM ET,BKN,36.74
C,Rudy Gobert (12001303),Rudy Gobert,12001303,C/UTIL,8500,MIN@UTA 01/25/2019 09:00PM ET,UTA,40.92
PG/SF,Luka Doncic (12001305),Luka Doncic,12001305,PG/SF/F/G/UTIL,8400,DET@DAL 01/25/2019 08:30PM ET,DAL,39.05
C,Marc Gasol (12001310),Marc Gasol,12001310,C/UTIL,8300,SAC@MEM 01/25/2019 08:00PM ET,MEM,38.73
SF/PF,Tobias Harris (12001312),Tobias Harris,12001312,SF/PF/F/UTIL,8200,LAC@CHI 01/25/2019 08:00PM ET,LAC,37.59
